TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,21.0,12.0,68,30.63,10.0,ESE,5.8,-,N/A,,Mostly Cloudy,120,2000-01-29 06:53:00
1:53 AM,21.0,14.0,74,30.62,10.0,ESE,5.8,-,N/A,,Overcast,120,2000-01-29 07:53:00
2:53 AM,23.0,15.1,72,30.60,10.0,East,8.1,-,N/A,,Overcast,100,2000-01-29 08:53:00
3:53 AM,24.1,15.1,69,30.59,10.0,ESE,10.4,-,N/A,,Overcast,110,2000-01-29 09:53:00
4:53 AM,23.0,15.1,72,30.57,10.0,East,10.4,-,N/A,,Overcast,100,2000-01-29 10:53:00
5:53 AM,23.0,15.1,72,30.57,10.0,East,12.7,-,N/A,,Overcast,100,2000-01-29 11:53:00
6:53 AM,24.1,15.1,69,30.55,10.0,East,13.8,-,N/A,,Overcast,100,2000-01-29 12:53:00
7:53 AM,24.1,16.0,71,30.55,10.0,East,11.5,-,N/A,,Overcast,100,2000-01-29 13:53:00
8:53 AM,25.0,16.0,69,30.54,10.0,East,17.3,-,N/A,,Overcast,90,2000-01-29 14:53:00
9:53 AM,26.1,16.0,66,30.53,10.0,East,18.4,-,N/A,,Overcast,90,2000-01-29 15:53:00
10:53 AM,26.1,17.1,69,30.53,10.0,East,17.3,-,N/A,,Overcast,100,2000-01-29 16:53:00
11:53 AM,26.1,18.0,71,30.48,10.0,East,15.0,-,N/A,,Overcast,80,2000-01-29 17:53:00
12:53 PM,26.1,17.1,69,30.39,10.0,East,13.8,23.0,N/A,,Overcast,100,2000-01-29 18:53:00
1:53 PM,27.0,17.1,66,30.42,10.0,East,17.3,-,N/A,,Overcast,90,2000-01-29 19:53:00
2:53 PM,28.0,17.1,63,30.40,10.0,East,17.3,-,N/A,,Overcast,80,2000-01-29 20:53:00
3:34 PM,26.6,17.6,69,30.33,3.0,East,16.1,-,0.00,Snow,Light Snow,80,2000-01-29 21:34:00
3:40 PM,26.6,19.4,74,30.33,1.5,East,17.3,24.2,0.00,Snow,Light Snow,80,2000-01-29 21:40:00
3:53 PM,27.0,21.0,78,30.38,2.0,East,17.3,20.7,0.00,Snow,Light Snow,90,2000-01-29 21:53:00
4:15 PM,26.6,21.2,80,30.33,1.5,ENE,15.0,-,0.00,Snow,Light Snow,70,2000-01-29 22:15:00
4:28 PM,26.6,23.0,86,30.32,0.8,East,12.7,-,0.00,Snow,Light Snow,80,2000-01-29 22:28:00
4:45 PM,26.6,24.8,93,30.32,2.0,East,12.7,-,0.00,Snow,Light Snow,80,2000-01-29 22:45:00
4:53 PM,27.0,24.1,89,30.37,3.0,East,12.7,-,0.00,Snow,Light Snow,90,2000-01-29 22:53:00
5:09 PM,26.6,24.8,93,30.32,2.0,ENE,13.8,-,0.00,Snow,Light Snow,70,2000-01-29 23:09:00
5:33 PM,26.6,24.8,93,30.31,1.2,East,13.8,-,0.00,Snow,Light Snow,80,2000-01-29 23:33:00
5:53 PM,27.0,24.1,89,30.34,1.5,ENE,15.0,-,0.00,Snow,Light Snow,70,2000-01-29 23:53:00
6:53 PM,28.0,25.0,88,30.32,1.2,East,15.0,-,0.00,Snow,Light Snow,80,2000-01-30 00:53:00
7:34 PM,28.4,24.8,86,30.26,1.8,East,18.4,-,0.00,Snow,Light Snow,90,2000-01-30 01:34:00
7:53 PM,27.0,25.0,92,30.31,1.2,East,13.8,-,0.00,Snow,Light Snow,90,2000-01-30 01:53:00
8:02 PM,28.4,24.8,86,30.26,0.5,East,19.6,23.0,0.00,Fog-Snow,Snow,80,2000-01-30 02:02:00
8:20 PM,26.6,24.8,93,30.25,1.0,East,15.0,-,0.00,Snow,Light Snow,90,2000-01-30 02:20:00
8:53 PM,27.0,25.0,92,30.30,1.0,East,12.7,-,0.00,Snow,Light Snow,90,2000-01-30 02:53:00
9:08 PM,26.6,24.8,93,30.25,2.0,East,16.1,24.2,0.00,Snow,Light Snow,90,2000-01-30 03:08:00
9:21 PM,26.6,24.8,93,30.24,1.5,East,16.1,-,0.00,Snow,Light Snow,90,2000-01-30 03:21:00
9:53 PM,27.0,24.1,89,30.28,2.0,East,11.5,-,0.00,Snow,Light Snow,90,2000-01-30 03:53:00
10:13 PM,26.6,24.8,93,30.22,1.5,East,15.0,-,0.00,Snow,Light Snow,90,2000-01-30 04:13:00
10:53 PM,27.0,25.0,92,30.25,1.0,East,15.0,-,0.00,Snow,Light Snow,90,2000-01-30 04:53:00
11:53 PM,27.0,24.1,89,30.22,1.8,East,12.7,-,0.00,Snow,Light Snow,90,2000-01-30 05:53:00
