TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,32.0,27.0,82,30.12,10.0,South,5.8,-,N/A,,Clear,180,2007-12-26 06:51:00
1:51 AM,30.9,26.1,82,30.13,10.0,South,6.9,-,N/A,,Clear,180,2007-12-26 07:51:00
2:51 AM,30.9,26.1,82,30.12,10.0,South,5.8,-,N/A,,Clear,170,2007-12-26 08:51:00
3:51 AM,30.0,25.0,82,30.12,10.0,SSW,4.6,-,N/A,,Partly Cloudy,210,2007-12-26 09:51:00
4:51 AM,28.9,25.0,85,30.12,10.0,South,4.6,-,N/A,,Clear,180,2007-12-26 10:51:00
5:51 AM,28.9,24.1,82,30.12,10.0,South,6.9,-,N/A,,Clear,170,2007-12-26 11:51:00
6:51 AM,30.0,24.1,79,30.11,10.0,South,8.1,-,N/A,,Partly Cloudy,180,2007-12-26 12:51:00
7:51 AM,30.9,25.0,79,30.09,10.0,South,8.1,-,N/A,,Scattered Clouds,170,2007-12-26 13:51:00
8:51 AM,33.1,26.1,75,30.09,10.0,South,8.1,-,N/A,,Scattered Clouds,190,2007-12-26 14:51:00
9:51 AM,37.9,27.0,65,30.08,10.0,South,9.2,-,N/A,,Scattered Clouds,190,2007-12-26 15:51:00
10:51 AM,42.1,28.0,58,30.06,10.0,South,8.1,-,N/A,,Scattered Clouds,180,2007-12-26 16:51:00
11:51 AM,43.0,27.0,53,30.01,10.0,South,9.2,-,N/A,,Scattered Clouds,190,2007-12-26 17:51:00
12:51 PM,44.1,26.1,49,29.96,10.0,South,10.4,-,N/A,,Partly Cloudy,190,2007-12-26 18:51:00
1:51 PM,45.0,27.0,49,29.97,10.0,SSW,8.1,-,N/A,,Partly Cloudy,210,2007-12-26 19:51:00
2:51 PM,44.1,27.0,51,29.96,10.0,SSW,6.9,-,N/A,,Mostly Cloudy,200,2007-12-26 20:51:00
3:51 PM,43.0,27.0,53,29.96,10.0,South,4.6,-,N/A,,Mostly Cloudy,180,2007-12-26 21:51:00
4:51 PM,42.1,28.0,58,29.96,10.0,SSE,4.6,-,N/A,,Overcast,160,2007-12-26 22:51:00
5:51 PM,42.1,28.0,58,29.96,10.0,South,4.6,-,N/A,,Overcast,180,2007-12-26 23:51:00
6:51 PM,41.0,28.9,62,29.95,10.0,SSE,5.8,-,N/A,,Overcast,150,2007-12-27 00:51:00
7:51 PM,39.9,28.9,65,29.94,10.0,SSE,4.6,-,N/A,,Overcast,160,2007-12-27 01:51:00
8:51 PM,39.0,28.9,67,29.93,10.0,South,5.8,-,N/A,,Overcast,170,2007-12-27 02:51:00
9:51 PM,39.9,28.9,65,29.91,10.0,SSE,9.2,-,N/A,,Overcast,150,2007-12-27 03:51:00
10:51 PM,39.0,30.9,73,29.92,7.0,SSW,10.4,-,0.00,Rain,Light Rain,210,2007-12-27 04:51:00
10:59 PM,37.4,30.2,75,29.90,10.0,SSW,10.4,-,0.00,Rain,Light Rain,210,2007-12-27 04:59:00
11:51 PM,36.0,33.1,89,29.92,8.0,SW,8.1,-,0.02,Rain,Light Rain,220,2007-12-27 05:51:00
