TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,78.1,66.0,66,30.00,10.0,SSW,6.9,-,N/A,,Clear,200,1991-05-29 05:00:00
2:00 AM,75.9,66.0,71,29.99,10.0,SSW,8.1,-,N/A,,Clear,200,1991-05-29 07:00:00
3:00 AM,75.0,66.9,76,29.99,10.0,SSW,6.9,-,N/A,,Clear,200,1991-05-29 08:00:00
4:00 AM,73.9,68.0,82,30.00,10.0,SW,9.2,-,N/A,,Scattered Clouds,220,1991-05-29 09:00:00
5:00 AM,73.0,66.9,81,30.00,10.0,SW,6.9,-,N/A,,Scattered Clouds,220,1991-05-29 10:00:00
6:00 AM,73.0,68.0,84,30.02,10.0,SSW,3.5,-,N/A,,Scattered Clouds,200,1991-05-29 11:00:00
7:00 AM,73.9,68.0,82,30.03,10.0,SW,6.9,-,N/A,,Scattered Clouds,220,1991-05-29 12:00:00
8:00 AM,77.0,69.1,76,30.03,6.0,SW,9.2,-,N/A,,Drizzle,220,1991-05-29 13:00:00
9:00 AM,80.1,71.1,74,30.03,5.0,West,9.2,-,N/A,,Drizzle,260,1991-05-29 14:00:00
10:00 AM,80.1,71.1,74,30.01,5.0,Calm,Calm,-,N/A,,Drizzle,0,1991-05-29 15:00:00
11:00 AM,84.0,72.0,67,30.00,6.0,SSW,6.9,-,N/A,,Drizzle,200,1991-05-29 16:00:00
12:00 PM,84.0,71.1,65,29.98,6.0,SSW,9.2,-,N/A,,Drizzle,200,1991-05-29 17:00:00
1:00 PM,84.9,72.0,65,29.95,7.0,SSW,11.5,-,N/A,,Overcast,200,1991-05-29 18:00:00
2:00 PM,82.9,69.1,63,29.92,8.0,SSW,11.5,-,N/A,,Overcast,200,1991-05-29 19:00:00
3:00 PM,82.9,70.0,65,29.91,8.0,SSW,8.1,-,N/A,,Overcast,200,1991-05-29 20:00:00
4:00 PM,82.9,66.9,58,29.89,8.0,South,11.5,-,N/A,,Overcast,180,1991-05-29 21:00:00
5:00 PM,75.0,66.0,73,29.88,8.0,South,17.3,-,N/A,Rain,Light Rain,170,1991-05-29 22:00:00
6:00 PM,73.9,66.9,79,29.90,6.0,SW,16.1,-,0.30,Rain,Light Rain Showers,220,1991-05-29 23:00:00
7:00 PM,72.0,66.9,84,29.85,10.0,South,16.1,-,0.10,,Overcast,180,1991-05-30 00:00:00
8:00 PM,73.0,68.0,84,29.84,10.0,SSW,6.9,-,N/A,,Mostly Cloudy,210,1991-05-30 01:00:00
9:00 PM,73.0,68.0,84,29.82,10.0,SSW,9.2,-,N/A,,Overcast,200,1991-05-30 02:00:00
10:00 PM,73.0,69.1,87,29.83,10.0,SSW,8.1,-,N/A,,Overcast,200,1991-05-30 03:00:00
11:00 PM,73.0,69.1,87,29.82,7.0,SSW,9.2,-,N/A,,Overcast,210,1991-05-30 04:00:00
