TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,59.9,48.9,67,30.12,10.0,South,15.0,-,N/A,Rain,Light Rain,190,1993-04-28 05:00:00
1:00 AM,57.9,50.9,77,30.09,10.0,SSW,11.5,-,N/A,,Overcast,200,1993-04-28 06:00:00
2:00 AM,59.0,50.0,72,30.07,10.0,SSW,13.8,-,N/A,,Overcast,200,1993-04-28 07:00:00
3:00 AM,57.9,50.0,75,30.08,10.0,SSW,11.5,-,N/A,,Overcast,210,1993-04-28 08:00:00
4:00 AM,56.8,50.9,80,30.09,10.0,SSW,15.0,-,N/A,Rain,Light Rain Showers,210,1993-04-28 09:00:00
5:00 AM,54.9,52.0,90,30.09,10.0,SSW,11.5,-,N/A,,Overcast,210,1993-04-28 10:00:00
6:00 AM,55.9,50.9,83,30.10,10.0,SSW,6.9,-,N/A,,Overcast,210,1993-04-28 11:00:00
7:00 AM,56.8,52.0,84,30.12,10.0,SW,18.4,-,N/A,,Overcast,220,1993-04-28 12:00:00
8:00 AM,59.0,54.0,83,30.14,7.0,SW,6.9,-,N/A,,Mostly Cloudy,220,1993-04-28 13:00:00
9:00 AM,63.0,54.9,75,30.15,6.0,West,11.5,-,N/A,,Drizzle,260,1993-04-28 14:00:00
10:00 AM,64.9,55.9,73,30.15,6.0,West,9.2,-,N/A,,Drizzle,270,1993-04-28 15:00:00
11:00 AM,68.0,55.9,65,30.14,7.0,West,6.9,-,N/A,,Scattered Clouds,280,1993-04-28 16:00:00
12:00 PM,70.9,54.9,57,30.13,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,1993-04-28 17:00:00
1:00 PM,72.0,57.9,61,30.12,10.0,SSW,5.8,-,N/A,,Mostly Cloudy,210,1993-04-28 18:00:00
2:00 PM,70.0,54.9,59,30.11,10.0,NE,11.5,-,N/A,,Mostly Cloudy,50,1993-04-28 19:00:00
3:00 PM,68.9,45.0,42,30.11,10.0,ENE,11.5,-,N/A,,Mostly Cloudy,60,1993-04-28 20:00:00
4:00 PM,68.0,52.9,58,30.10,10.0,ENE,11.5,-,N/A,,Mostly Cloudy,60,1993-04-28 21:00:00
5:00 PM,66.9,52.9,61,30.09,10.0,ENE,11.5,-,N/A,,Mostly Cloudy,60,1993-04-28 22:00:00
6:00 PM,63.9,50.0,61,30.09,10.0,ENE,11.5,-,N/A,,Mostly Cloudy,60,1993-04-28 23:00:00
7:00 PM,63.0,50.0,63,0.00,10.0,ENE,8.1,-,N/A,,Mostly Cloudy,60,1993-04-29 00:00:00
8:00 PM,61.0,47.8,62,30.09,8.0,ENE,6.9,-,N/A,,Overcast,60,1993-04-29 01:00:00
9:00 PM,59.9,47.8,64,30.11,7.0,SSE,5.8,-,N/A,,Overcast,160,1993-04-29 02:00:00
9:05 PM,-9999,-9999,N/A,30.12,6.0,West,13.8,-,N/A,Rain,Light Rain Showers,260,1993-04-29 02:05:00
10:00 PM,59.0,59.0,100,30.11,6.0,WSW,5.8,-,N/A,Rain,Light Rain,240,1993-04-29 03:00:00
11:00 PM,59.9,59.9,100,30.11,8.0,West,5.8,-,N/A,,Mostly Cloudy,260,1993-04-29 04:00:00
