TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,78.1,55.9,46,30.09,15.0,South,9.2,-,N/A,,Overcast,190,1991-09-09 05:00:00
1:00 AM,78.1,60.1,54,30.08,10.0,South,13.8,-,N/A,,Overcast,190,1991-09-09 06:00:00
2:00 AM,77.0,61.0,58,30.07,8.0,South,11.5,-,N/A,,Overcast,180,1991-09-09 07:00:00
3:00 AM,75.9,60.1,58,30.08,8.0,SSW,12.7,-,N/A,,Overcast,200,1991-09-09 08:00:00
4:00 AM,73.9,63.0,68,30.07,8.0,SSW,10.4,-,N/A,,Overcast,200,1991-09-09 09:00:00
5:00 AM,73.0,64.0,73,30.06,7.0,SSW,10.4,-,N/A,,Mostly Cloudy,210,1991-09-09 10:00:00
6:00 AM,72.0,64.9,78,30.06,5.0,South,9.2,-,N/A,,Drizzle,190,1991-09-09 11:00:00
7:00 AM,72.0,66.0,81,30.06,4.0,ESE,9.2,-,N/A,,Drizzle,120,1991-09-09 12:00:00
8:00 AM,73.9,68.0,82,30.06,4.0,SW,10.4,-,N/A,,Drizzle,220,1991-09-09 13:00:00
10:00 AM,81.0,70.0,69,30.06,8.0,SSW,13.8,-,N/A,,Clear,210,1991-09-09 15:00:00
11:00 AM,84.0,71.1,65,30.05,10.0,SW,17.3,-,N/A,,Clear,220,1991-09-09 16:00:00
12:00 PM,88.0,71.1,57,30.03,10.0,SW,15.0,-,N/A,,Scattered Clouds,220,1991-09-09 17:00:00
1:00 PM,91.0,69.1,48,30.01,15.0,SW,17.3,23.0,N/A,,Mostly Cloudy,220,1991-09-09 18:00:00
2:00 PM,91.9,69.1,47,30.00,15.0,SW,17.3,23.0,N/A,,Mostly Cloudy,220,1991-09-09 19:00:00
3:00 PM,93.0,68.0,44,29.98,15.0,SW,15.0,23.0,N/A,,Mostly Cloudy,220,1991-09-09 20:00:00
4:00 PM,93.9,68.0,43,29.97,15.0,SW,16.1,25.3,N/A,,Mostly Cloudy,230,1991-09-09 21:00:00
5:00 PM,93.0,68.0,44,29.96,15.0,SW,17.3,25.3,N/A,,Scattered Clouds,230,1991-09-09 22:00:00
6:00 PM,91.9,68.0,45,29.95,15.0,SW,15.0,24.2,N/A,,Scattered Clouds,230,1991-09-09 23:00:00
7:00 PM,86.0,66.9,53,29.94,15.0,SW,12.7,-,N/A,,Scattered Clouds,230,1991-09-10 00:00:00
8:00 PM,88.0,68.0,51,29.93,10.0,SSW,20.7,-,N/A,,Overcast,210,1991-09-10 01:00:00
9:00 PM,86.0,70.0,59,29.97,10.0,SW,17.3,-,N/A,,Mostly Cloudy,220,1991-09-10 02:00:00
9:03 PM,-9999,-9999,N/A,29.99,8.0,West,23.0,-,N/A,Rain,Rain Showers,270,1991-09-10 02:03:00
10:00 PM,75.9,62.1,62,30.00,8.0,West,17.3,-,0.20,Rain,Rain Showers,280,1991-09-10 03:00:00
11:00 PM,73.0,69.1,87,30.03,10.0,WSW,5.8,-,0.20,Rain,Light Rain,240,1991-09-10 04:00:00
