TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,61.0,50.0,67,29.85,10.0,SE,8.1,-,N/A,,Overcast,140,2000-05-11 05:53:00
1:53 AM,61.0,50.0,67,29.83,10.0,South,9.2,-,N/A,,Overcast,170,2000-05-11 06:53:00
2:53 AM,62.1,51.1,67,29.82,10.0,South,8.1,-,N/A,,Mostly Cloudy,180,2000-05-11 07:53:00
3:53 AM,61.0,51.1,70,29.81,10.0,South,8.1,-,N/A,,Overcast,170,2000-05-11 08:53:00
4:53 AM,61.0,50.0,67,29.78,10.0,South,11.5,-,N/A,,Mostly Cloudy,170,2000-05-11 09:53:00
5:53 AM,61.0,51.1,70,29.77,10.0,South,10.4,-,N/A,,Mostly Cloudy,170,2000-05-11 10:53:00
6:53 AM,61.0,51.1,70,29.76,10.0,SSE,12.7,-,N/A,,Mostly Cloudy,160,2000-05-11 11:53:00
7:53 AM,62.1,51.1,67,29.75,10.0,South,12.7,20.7,N/A,,Mostly Cloudy,170,2000-05-11 12:53:00
8:53 AM,63.0,52.0,67,29.73,10.0,South,13.8,18.4,N/A,,Mostly Cloudy,180,2000-05-11 13:53:00
9:53 AM,64.9,53.1,65,29.71,10.0,South,16.1,23.0,N/A,,Overcast,170,2000-05-11 14:53:00
10:35 AM,64.4,53.6,68,29.69,10.0,South,13.8,23.0,N/A,,Overcast,170,2000-05-11 15:35:00
10:53 AM,64.0,55.0,73,29.65,10.0,South,13.8,21.9,0.00,Rain,Light Rain,170,2000-05-11 15:53:00
11:04 AM,64.4,55.4,73,29.68,10.0,South,11.5,-,0.00,Rain-Thunderstorm,Light Thunderstorms and Rain,180,2000-05-11 16:04:00
11:53 AM,62.1,57.9,86,29.67,3.0,South,11.5,19.6,0.14,Rain-Thunderstorm,Heavy Thunderstorms and Rain,170,2000-05-11 16:53:00
12:29 PM,62.6,57.2,82,29.67,9.0,South,9.2,-,0.06,Rain,Light Rain,170,2000-05-11 17:29:00
12:41 PM,62.6,57.2,82,29.66,8.0,SSE,10.4,-,0.06,Rain-Thunderstorm,Light Thunderstorms and Rain,160,2000-05-11 17:41:00
12:53 PM,62.1,59.0,90,29.65,6.0,SSE,11.5,17.3,0.09,Rain-Thunderstorm,Thunderstorms and Rain,160,2000-05-11 17:53:00
1:25 PM,62.6,59.0,88,29.62,10.0,South,13.8,19.6,0.00,,Overcast,180,2000-05-11 18:25:00
1:53 PM,63.0,59.0,87,29.61,9.0,South,15.0,23.0,0.00,,Overcast,180,2000-05-11 18:53:00
2:53 PM,66.0,60.1,81,29.56,9.0,South,18.4,25.3,N/A,,Overcast,170,2000-05-11 19:53:00
3:53 PM,70.0,61.0,73,29.53,10.0,South,21.9,31.1,N/A,,Mostly Cloudy,180,2000-05-11 20:53:00
4:53 PM,72.0,63.0,73,29.50,8.0,South,21.9,26.5,N/A,,Overcast,170,2000-05-11 21:53:00
5:53 PM,73.0,64.0,73,29.48,7.0,SSE,10.4,-,N/A,,Overcast,160,2000-05-11 22:53:00
6:53 PM,73.9,66.0,76,29.47,8.0,SSE,10.4,-,N/A,,Mostly Cloudy,160,2000-05-11 23:53:00
7:53 PM,75.0,66.9,76,29.46,6.0,SSE,6.9,-,N/A,,Haze,150,2000-05-12 00:53:00
8:53 PM,77.0,68.0,74,29.45,6.0,South,9.2,-,N/A,,Haze,170,2000-05-12 01:53:00
9:53 PM,79.0,68.0,69,29.46,8.0,SSW,17.3,29.9,N/A,,Scattered Clouds,200,2000-05-12 02:53:00
10:53 PM,77.0,66.9,71,29.47,8.0,SSW,20.7,25.3,N/A,,Scattered Clouds,200,2000-05-12 03:53:00
11:53 PM,75.0,66.9,76,29.48,8.0,SSW,16.1,26.5,N/A,,Mostly Cloudy,210,2000-05-12 04:53:00
