TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,32.0,25.0,75,29.70,10.0,SW,11.5,-,N/A,,Mostly Cloudy,220,1995-02-10 06:00:00
1:00 AM,32.0,25.9,78,29.68,10.0,SSW,11.5,-,N/A,,Mostly Cloudy,210,1995-02-10 07:00:00
2:00 AM,32.0,25.0,75,29.66,10.0,SSW,17.3,-,N/A,,Mostly Cloudy,210,1995-02-10 08:00:00
3:00 AM,32.0,25.0,75,29.62,10.0,SW,13.8,-,N/A,,Mostly Cloudy,220,1995-02-10 09:00:00
4:00 AM,32.0,25.0,75,29.58,10.0,SW,17.3,-,N/A,,Mostly Cloudy,220,1995-02-10 10:00:00
5:00 AM,30.9,25.9,82,29.54,10.0,SW,17.3,-,N/A,,Mostly Cloudy,220,1995-02-10 11:00:00
6:00 AM,30.9,25.9,82,29.52,10.0,SSW,23.0,-,N/A,,Mostly Cloudy,210,1995-02-10 12:00:00
7:00 AM,30.9,25.9,82,29.50,10.0,SW,15.0,-,N/A,,Mostly Cloudy,220,1995-02-10 13:00:00
8:00 AM,32.0,25.0,75,29.49,9.0,SSW,18.4,-,N/A,,Overcast,200,1995-02-10 14:00:00
9:00 AM,34.0,25.9,72,29.50,10.0,SW,20.7,-,N/A,,Overcast,230,1995-02-10 15:00:00
10:00 AM,37.9,27.0,65,29.50,10.0,WSW,20.7,-,N/A,,Scattered Clouds,250,1995-02-10 16:00:00
11:00 AM,38.8,27.0,62,29.52,10.0,West,20.7,34.5,N/A,,Overcast,270,1995-02-10 17:00:00
12:00 PM,36.9,23.0,57,29.53,10.0,WNW,20.7,34.5,N/A,,Scattered Clouds,290,1995-02-10 18:00:00
1:00 PM,34.9,18.9,52,29.57,15.0,West,23.0,34.5,N/A,,Scattered Clouds,270,1995-02-10 19:00:00
2:00 PM,34.0,14.0,44,29.60,15.0,West,23.0,34.5,N/A,,Scattered Clouds,270,1995-02-10 20:00:00
3:00 PM,32.9,2.8,28,29.62,25.0,WNW,23.0,34.5,N/A,,Clear,300,1995-02-10 21:00:00
4:00 PM,29.8,9.9,43,29.66,25.0,West,25.3,34.5,N/A,,Clear,280,1995-02-10 22:00:00
5:00 PM,25.9,9.9,51,29.71,25.0,West,20.7,32.2,N/A,,Scattered Clouds,280,1995-02-10 23:00:00
6:00 PM,23.9,9.9,55,29.75,20.0,West,23.0,32.2,N/A,,Scattered Clouds,260,1995-02-11 00:00:00
7:00 PM,20.8,5.0,50,29.78,15.0,West,20.7,-,N/A,,Clear,280,1995-02-11 01:00:00
8:00 PM,20.8,7.0,55,29.82,15.0,West,23.0,32.2,N/A,,Scattered Clouds,280,1995-02-11 02:00:00
9:00 PM,19.9,3.9,50,29.82,10.0,WNW,23.0,32.2,N/A,,Clear,290,1995-02-11 03:00:00
10:00 PM,18.9,2.8,50,29.84,15.0,West,20.7,29.9,N/A,,Scattered Clouds,280,1995-02-11 04:00:00
11:00 PM,16.9,2.8,54,29.88,15.0,West,20.7,32.2,N/A,,Clear,280,1995-02-11 05:00:00
