TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,45.0,35.1,68,29.81,10.0,North,5.8,-,N/A,,Partly Cloudy,10,2008-05-09 05:51:00
1:51 AM,44.1,36.0,73,29.81,10.0,North,4.6,-,N/A,,Clear,10,2008-05-09 06:51:00
2:51 AM,43.0,36.0,76,29.80,10.0,NNE,4.6,-,N/A,,Partly Cloudy,20,2008-05-09 07:51:00
3:51 AM,43.0,36.0,76,29.79,10.0,NE,5.8,-,N/A,,Partly Cloudy,40,2008-05-09 08:51:00
4:51 AM,42.1,37.0,82,29.81,10.0,North,4.6,-,N/A,,Partly Cloudy,10,2008-05-09 09:51:00
5:51 AM,41.0,36.0,82,29.81,10.0,North,6.9,-,N/A,,Mostly Cloudy,350,2008-05-09 10:51:00
6:51 AM,45.0,37.9,76,29.84,10.0,North,6.9,-,N/A,,Mostly Cloudy,360,2008-05-09 11:51:00
7:51 AM,48.0,39.0,71,29.83,10.0,ENE,6.9,-,N/A,,Overcast,60,2008-05-09 12:51:00
8:51 AM,51.1,36.0,56,29.84,10.0,ENE,10.4,-,N/A,,Mostly Cloudy,60,2008-05-09 13:51:00
9:51 AM,54.0,34.0,47,29.83,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2008-05-09 14:51:00
10:51 AM,55.9,33.1,42,29.85,10.0,North,10.4,23.0,N/A,,Mostly Cloudy,10,2008-05-09 15:51:00
11:51 AM,57.0,30.0,36,29.86,10.0,NNE,9.2,-,N/A,,Overcast,30,2008-05-09 16:51:00
12:51 PM,55.9,34.0,44,29.85,10.0,NE,10.4,-,N/A,,Overcast,40,2008-05-09 17:51:00
1:51 PM,53.6,33.8,47,29.83,10.0,NNE,12.7,-,N/A,,Overcast,30,2008-05-09 18:51:00
2:51 PM,55.0,33.1,43,29.84,10.0,North,11.5,-,N/A,,Overcast,360,2008-05-09 19:51:00
3:51 PM,55.9,33.1,42,29.83,10.0,NNE,12.7,-,N/A,,Overcast,20,2008-05-09 20:51:00
4:51 PM,55.9,33.1,42,29.86,10.0,NNE,6.9,-,N/A,,Overcast,30,2008-05-09 21:51:00
5:51 PM,55.0,33.1,43,29.87,10.0,NE,8.1,-,N/A,,Overcast,50,2008-05-09 22:51:00
6:51 PM,53.1,33.1,47,29.87,10.0,NE,8.1,-,N/A,,Mostly Cloudy,50,2008-05-09 23:51:00
7:51 PM,52.0,32.0,47,29.88,10.0,NNE,4.6,-,N/A,,Scattered Clouds,20,2008-05-10 00:51:00
8:51 PM,50.0,33.1,52,29.90,10.0,NE,4.6,-,N/A,,Scattered Clouds,40,2008-05-10 01:51:00
9:51 PM,50.0,30.9,48,29.91,10.0,NE,4.6,-,N/A,,Partly Cloudy,50,2008-05-10 02:51:00
10:51 PM,48.0,33.1,56,29.93,10.0,North,3.5,-,N/A,,Partly Cloudy,350,2008-05-10 03:51:00
11:51 PM,45.0,34.0,65,29.93,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2008-05-10 04:51:00
