TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,69.1,57.9,68,30.08,10.0,SE,6.9,-,N/A,,Clear,130,1991-06-26 05:00:00
1:00 AM,68.0,60.1,76,30.07,10.0,SE,6.9,-,N/A,,Clear,130,1991-06-26 06:00:00
2:00 AM,66.0,60.1,81,30.06,8.0,South,4.6,-,N/A,,Clear,170,1991-06-26 07:00:00
3:00 AM,64.9,60.1,84,30.06,8.0,Calm,Calm,-,N/A,,Clear,0,1991-06-26 08:00:00
4:00 AM,66.0,60.1,81,30.06,8.0,Calm,Calm,-,N/A,,Clear,0,1991-06-26 09:00:00
5:00 AM,64.9,60.1,84,30.06,5.0,South,4.6,-,N/A,Fog,Fog,180,1991-06-26 10:00:00
6:00 AM,66.0,60.1,81,30.08,4.0,SSE,3.5,-,N/A,Fog,Fog,150,1991-06-26 11:00:00
7:00 AM,70.0,66.0,87,30.08,4.0,SE,4.6,-,N/A,Fog,Fog,140,1991-06-26 12:00:00
8:00 AM,75.9,64.0,67,30.09,5.0,South,6.9,-,N/A,,Drizzle,190,1991-06-26 13:00:00
9:00 AM,80.1,66.9,64,30.08,5.0,SSE,10.4,-,N/A,,Drizzle,160,1991-06-26 14:00:00
10:00 AM,84.0,68.0,58,30.07,4.0,South,13.8,-,N/A,,Drizzle,190,1991-06-26 15:00:00
11:00 AM,87.1,66.0,49,30.05,4.0,SSW,17.3,-,N/A,,Drizzle,200,1991-06-26 16:00:00
12:00 PM,88.0,64.9,46,30.04,4.0,South,18.4,-,N/A,,Drizzle,190,1991-06-26 17:00:00
1:00 PM,90.0,64.9,43,30.04,4.0,South,18.4,-,N/A,,Drizzle,190,1991-06-26 18:00:00
2:00 PM,91.0,66.0,44,30.01,4.0,SSW,12.7,-,N/A,,Drizzle,200,1991-06-26 19:00:00
3:00 PM,90.0,63.0,40,30.02,4.0,South,15.0,-,N/A,,Drizzle,190,1991-06-26 20:00:00
4:00 PM,91.9,64.0,39,29.99,4.0,SSW,15.0,-,N/A,,Drizzle,210,1991-06-26 21:00:00
5:00 PM,90.0,64.9,43,29.99,4.0,South,15.0,-,N/A,,Drizzle,190,1991-06-26 22:00:00
6:00 PM,89.1,66.0,46,29.98,4.0,South,16.1,-,N/A,,Drizzle,190,1991-06-26 23:00:00
7:00 PM,88.0,64.9,46,29.97,5.0,SSW,12.7,-,N/A,,Drizzle,200,1991-06-27 00:00:00
8:00 PM,84.9,66.0,53,29.99,5.0,SSW,11.5,-,N/A,,Drizzle,200,1991-06-27 01:00:00
9:00 PM,84.0,66.9,56,29.98,5.0,South,13.8,-,N/A,,Drizzle,190,1991-06-27 02:00:00
10:00 PM,82.0,68.0,62,30.01,5.0,South,11.5,-,N/A,,Drizzle,190,1991-06-27 03:00:00
11:00 PM,80.1,68.0,67,30.01,5.0,South,16.1,-,N/A,,Drizzle,190,1991-06-27 04:00:00
