TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
1:56 AM,37.9,33.1,83,29.97,10.0,NE,11.5,-,N/A,,Overcast,40,2000-01-03 07:56:00
2:56 AM,37.9,33.1,83,30.01,10.0,NE,11.5,-,N/A,,Overcast,40,2000-01-03 08:56:00
3:03 AM,37.4,33.8,87,30.00,10.0,NE,11.5,-,N/A,,Overcast,40,2000-01-03 09:03:00
3:56 AM,37.0,32.0,82,29.98,10.0,NE,11.5,-,N/A,,Overcast,50,2000-01-03 09:56:00
4:33 AM,37.4,30.2,75,29.94,10.0,NE,16.1,-,N/A,,Overcast,50,2000-01-03 10:33:00
4:56 AM,37.0,30.9,79,29.93,10.0,NE,13.8,-,N/A,,Overcast,40,2000-01-03 10:56:00
5:56 AM,37.0,30.9,79,29.93,10.0,ENE,13.8,-,N/A,,Overcast,60,2000-01-03 11:56:00
6:56 AM,37.0,32.0,82,29.96,10.0,NE,13.8,-,N/A,,Overcast,50,2000-01-03 12:56:00
7:56 AM,37.0,32.0,82,29.94,10.0,ENE,17.3,-,N/A,,Overcast,60,2000-01-03 13:56:00
8:56 AM,36.0,32.0,86,29.95,10.0,NE,16.1,20.7,N/A,,Overcast,50,2000-01-03 14:56:00
9:56 AM,36.0,32.0,86,29.94,10.0,ENE,11.5,-,N/A,,Overcast,60,2000-01-03 15:56:00
10:56 AM,37.0,33.1,86,29.96,10.0,ENE,9.2,-,N/A,,Overcast,60,2000-01-03 16:56:00
11:26 AM,37.4,33.8,87,29.89,10.0,ENE,10.4,-,N/A,,Overcast,70,2000-01-03 17:26:00
11:56 AM,37.0,35.1,93,29.84,6.0,ENE,17.3,-,N/A,,Overcast,70,2000-01-03 17:56:00
12:56 PM,37.0,36.0,96,29.76,2.0,East,15.0,29.9,N/A,,Overcast,80,2000-01-03 18:56:00
1:15 PM,37.4,35.6,93,29.76,1.5,East,11.5,-,N/A,,Overcast,80,2000-01-03 19:15:00
1:56 PM,37.9,37.0,97,29.75,0.5,ENE,13.8,20.7,N/A,,Overcast,70,2000-01-03 19:56:00
2:56 PM,37.9,37.0,97,29.73,2.0,NE,11.5,-,N/A,,Overcast,50,2000-01-03 20:56:00
3:56 PM,37.9,37.0,97,29.70,2.0,NNE,10.4,-,N/A,,Overcast,30,2000-01-03 21:56:00
3:58 PM,37.4,37.4,100,29.69,1.0,NE,13.8,-,N/A,,Overcast,40,2000-01-03 21:58:00
4:56 PM,36.0,36.0,100,29.68,2.0,NE,16.1,-,0.00,Rain,Light Rain,40,2000-01-03 22:56:00
5:25 PM,35.6,35.6,100,29.68,2.0,NE,16.1,19.6,0.00,Rain,Light Rain,40,2000-01-03 23:25:00
5:56 PM,36.0,35.1,97,29.65,2.0,NNE,15.0,-,0.01,Rain,Light Rain,30,2000-01-03 23:56:00
6:56 PM,36.0,34.0,93,29.64,4.0,NNE,12.7,23.0,0.07,Rain,Rain,30,2000-01-04 00:56:00
7:56 PM,36.0,34.0,93,29.62,4.0,NNE,10.4,20.7,0.05,Rain,Rain,30,2000-01-04 01:56:00
8:56 PM,34.0,33.1,96,29.59,10.0,NNE,10.4,-,0.09,Rain,Light Rain,30,2000-01-04 02:56:00
9:56 PM,33.1,33.1,100,29.58,8.0,North,11.5,-,0.00,Snow,Light Snow,350,2000-01-04 03:56:00
10:56 PM,33.1,32.0,96,29.58,3.0,NNW,11.5,-,0.01,Snow,Light Snow,340,2000-01-04 04:56:00
11:06 PM,33.8,32.0,93,29.56,2.0,NNW,11.5,-,0.01,Snow,Light Snow,340,2000-01-04 05:06:00
11:56 PM,33.1,32.0,96,29.60,3.0,NW,13.8,-,0.02,Snow,Light Snow,310,2000-01-04 05:56:00
