TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,70.0,59.0,68,30.05,10.0,SE,4.6,-,N/A,,Clear,140,2008-09-02 05:51:00
1:51 AM,70.0,60.1,71,30.04,10.0,Calm,Calm,-,N/A,,Clear,0,2008-09-02 06:51:00
2:51 AM,69.1,60.1,73,30.05,10.0,ESE,4.6,-,N/A,,Clear,110,2008-09-02 07:51:00
3:51 AM,64.9,59.0,81,30.04,9.0,Calm,Calm,-,N/A,,Clear,0,2008-09-02 08:51:00
4:51 AM,66.0,60.1,81,30.05,10.0,Calm,Calm,-,N/A,,Clear,0,2008-09-02 09:51:00
5:51 AM,66.9,57.0,70,30.05,10.0,SSE,5.8,-,N/A,,Clear,150,2008-09-02 10:51:00
6:51 AM,66.9,55.9,68,30.06,10.0,Calm,Calm,-,N/A,,Clear,0,2008-09-02 11:51:00
7:51 AM,71.1,57.9,63,30.07,10.0,Calm,Calm,-,N/A,,Clear,0,2008-09-02 12:51:00
8:51 AM,77.0,55.0,47,30.06,10.0,South,4.6,-,N/A,,Clear,170,2008-09-02 13:51:00
9:51 AM,82.0,55.9,41,30.06,10.0,Variable,5.8,-,N/A,,Clear,0,2008-09-02 14:51:00
10:51 AM,86.0,57.0,37,30.05,10.0,SSE,4.6,-,N/A,,Clear,160,2008-09-02 15:51:00
11:51 AM,89.1,57.0,34,30.04,10.0,SE,3.5,-,N/A,,Clear,130,2008-09-02 16:51:00
12:51 PM,91.0,57.9,33,30.03,10.0,SW,4.6,-,N/A,,Clear,230,2008-09-02 17:51:00
1:51 PM,93.0,59.0,32,30.01,10.0,South,11.5,-,N/A,,Partly Cloudy,190,2008-09-02 18:51:00
2:51 PM,93.0,60.1,33,29.99,10.0,West,8.1,-,N/A,,Scattered Clouds,260,2008-09-02 19:51:00
3:51 PM,93.0,61.0,34,29.98,10.0,WSW,4.6,-,N/A,,Scattered Clouds,240,2008-09-02 20:51:00
4:51 PM,91.9,61.0,35,29.97,10.0,WSW,6.9,-,N/A,,Scattered Clouds,250,2008-09-02 21:51:00
5:51 PM,91.0,64.0,41,29.97,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,240,2008-09-02 22:51:00
6:38 PM,89.6,66.2,46,30.01,10.0,WSW,11.5,-,N/A,Thunderstorm,Thunderstorm,240,2008-09-02 23:38:00
6:51 PM,84.0,66.9,56,30.00,9.0,SW,16.1,27.6,N/A,Thunderstorm,Thunderstorm,220,2008-09-02 23:51:00
7:20 PM,80.6,64.4,58,30.00,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,200,2008-09-03 00:20:00
7:51 PM,80.1,66.0,62,29.98,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,210,2008-09-03 00:51:00
8:51 PM,79.0,64.9,62,29.99,10.0,SW,3.5,-,N/A,,Mostly Cloudy,230,2008-09-03 01:51:00
9:51 PM,78.1,66.0,66,29.99,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2008-09-03 02:51:00
10:51 PM,75.0,66.0,73,30.00,10.0,SW,3.5,-,N/A,,Scattered Clouds,220,2008-09-03 03:51:00
11:51 PM,75.9,66.0,71,29.99,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2008-09-03 04:51:00
