TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,21.9,21.0,96,30.43,1.0,ENE,20.7,-,0.06,Snow,Light Snow,60,1993-01-10 06:00:00
12:22 AM,-9999,-9999,N/A,30.38,1.0,East,20.7,-,N/A,,Unknown,80,1993-01-10 06:22:00
1:00 AM,21.9,21.0,96,30.41,4.0,East,15.0,-,N/A,Snow,Light Snow,80,1993-01-10 07:00:00
2:00 AM,21.9,19.9,92,30.41,4.0,East,21.9,32.2,0.01,Snow,Light Snow,80,1993-01-10 08:00:00
3:00 AM,23.0,19.9,88,30.41,7.0,ENE,19.6,29.9,0.01,,Overcast,70,1993-01-10 09:00:00
3:08 AM,-9999,-9999,N/A,30.38,2.0,East,17.3,-,N/A,,Unknown,80,1993-01-10 09:08:00
3:22 AM,-9999,-9999,N/A,30.38,0.9,East,19.6,-,N/A,Fog,Unknown,80,1993-01-10 09:22:00
4:00 AM,24.1,23.0,96,30.41,0.9,ENE,18.4,-,0.02,Fog-Snow,Light Snow,60,1993-01-10 10:00:00
5:00 AM,24.1,23.0,96,30.41,0.9,East,17.3,-,0.05,Fog-Snow,Light Snow,90,1993-01-10 11:00:00
6:00 AM,24.1,21.9,91,30.42,0.9,ENE,18.4,-,0.07,Fog-Snow,Light Snow,70,1993-01-10 12:00:00
6:12 AM,-9999,-9999,N/A,30.39,0.9,ENE,13.8,-,N/A,Fog,Unknown,60,1993-01-10 12:12:00
7:00 AM,24.1,21.0,88,30.45,0.9,NE,13.8,-,0.03,Fog-Snow,Light Snow,50,1993-01-10 13:00:00
7:21 AM,-9999,-9999,N/A,30.42,3.0,ENE,11.5,-,N/A,Fog,Unknown,60,1993-01-10 13:21:00
8:00 AM,24.1,21.0,88,30.45,3.0,NE,12.7,-,0.04,Fog-Snow,Light Snow,50,1993-01-10 14:00:00
8:04 AM,-9999,-9999,N/A,30.42,2.0,NE,16.1,-,N/A,Fog,Unknown,40,1993-01-10 14:04:00
8:27 AM,-9999,-9999,N/A,30.42,1.0,ENE,15.0,-,N/A,Fog,Unknown,60,1993-01-10 14:27:00
9:00 AM,24.1,21.9,91,30.45,1.0,NE,17.3,-,0.03,Fog-Snow,Light Snow,40,1993-01-10 15:00:00
9:03 AM,-9999,-9999,N/A,30.42,5.5,NE,15.0,-,N/A,Fog,Unknown,50,1993-01-10 15:03:00
9:24 AM,-9999,-9999,N/A,30.42,2.0,NE,15.0,-,N/A,Fog,Unknown,50,1993-01-10 15:24:00
10:00 AM,26.1,21.9,84,30.45,2.0,ENE,20.7,-,0.02,Fog-Snow,Light Snow,60,1993-01-10 16:00:00
11:00 AM,26.1,24.1,92,30.46,2.0,NE,17.3,-,0.02,Fog-Snow,Light Snow,50,1993-01-10 17:00:00
11:20 AM,-9999,-9999,N/A,30.41,10.5,ENE,16.1,-,N/A,Fog,Unknown,60,1993-01-10 17:20:00
12:00 PM,27.0,23.0,85,30.43,10.5,NE,18.4,-,N/A,Fog-Snow,Light Snow,50,1993-01-10 18:00:00
12:20 PM,-9999,-9999,N/A,30.39,3.0,NE,19.6,-,N/A,Fog,Unknown,50,1993-01-10 18:20:00
1:00 PM,27.0,21.9,81,30.42,3.0,NE,13.8,-,0.02,,Freezing Rain,40,1993-01-10 19:00:00
2:00 PM,26.1,24.1,92,30.41,2.0,NE,18.4,-,0.02,Snow,Light Snow,40,1993-01-10 20:00:00
2:08 PM,-9999,-9999,N/A,30.38,2.0,NE,17.3,-,N/A,Fog,Unknown,40,1993-01-10 20:08:00
3:00 PM,26.1,24.1,92,30.41,1.0,NNE,16.1,-,0.02,Fog-Snow,Light Snow,30,1993-01-10 21:00:00
4:00 PM,26.1,25.0,96,30.41,1.0,NNE,18.4,-,N/A,Fog-Snow,Light Snow,30,1993-01-10 22:00:00
4:25 PM,-9999,-9999,N/A,30.39,5.5,NNE,15.0,-,N/A,Fog,Unknown,30,1993-01-10 22:25:00
5:00 PM,26.1,24.1,92,30.43,2.0,NE,16.1,-,0.01,Fog-Snow,Light Snow,40,1993-01-10 23:00:00
5:20 PM,-9999,-9999,N/A,30.41,10.5,NE,15.0,-,N/A,Fog,Unknown,40,1993-01-10 23:20:00
5:36 PM,-9999,-9999,N/A,30.40,7.0,NE,15.0,-,N/A,,Unknown,40,1993-01-10 23:36:00
6:00 PM,27.0,23.0,85,30.43,10.0,NE,15.0,-,N/A,,Overcast,40,1993-01-11 00:00:00
7:00 PM,27.0,21.9,81,30.44,10.0,NE,16.1,-,N/A,,Overcast,40,1993-01-11 01:00:00
8:00 PM,27.0,21.9,81,30.45,10.0,NE,17.3,-,N/A,,Overcast,40,1993-01-11 02:00:00
9:00 PM,27.0,21.9,81,30.45,10.0,NE,17.3,-,N/A,,Overcast,50,1993-01-11 03:00:00
10:00 PM,27.0,19.9,75,30.48,10.0,ENE,13.8,-,N/A,,Overcast,60,1993-01-11 04:00:00
11:00 PM,27.0,21.0,78,30.48,10.0,ENE,15.0,-,N/A,,Overcast,70,1993-01-11 05:00:00
