TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:56 AM,73.9,63.0,68,29.55,10.0,SW,10.4,21.9,N/A,,Mostly Cloudy,230,1997-06-16 05:56:00
1:34 AM,73.4,64.4,73,29.55,10.0,SW,13.8,19.6,N/A,Thunderstorm,Thunderstorm,230,1997-06-16 06:34:00
1:39 AM,73.4,64.4,73,29.55,10.0,NW,18.4,25.3,N/A,Thunderstorm,Thunderstorm,310,1997-06-16 06:39:00
1:43 AM,69.8,62.6,78,29.58,10.0,North,13.8,25.3,N/A,Thunderstorm,Thunderstorm,360,1997-06-16 06:43:00
1:56 AM,66.9,64.9,93,29.58,10.0,NNW,11.5,-,0.00,Rain-Thunderstorm,Light Thunderstorms and Rain,330,1997-06-16 06:56:00
2:14 AM,64.4,64.4,100,29.59,3.0,Calm,Calm,-,0.13,Rain-Thunderstorm,Heavy Thunderstorms and Rain,0,1997-06-16 07:14:00
2:18 AM,64.4,64.4,100,29.58,3.0,South,3.5,-,0.21,Rain-Thunderstorm,Thunderstorms and Rain,190,1997-06-16 07:18:00
2:49 AM,64.4,64.4,100,29.56,4.0,SE,4.6,-,0.46,Rain-Thunderstorm,Heavy Thunderstorms and Rain,140,1997-06-16 07:49:00
2:56 AM,64.0,64.0,100,29.55,9.0,SSW,3.5,-,0.46,Rain-Thunderstorm,Light Thunderstorms and Rain,200,1997-06-16 07:56:00
3:15 AM,64.4,64.4,100,29.56,7.0,SE,4.6,-,0.09,Rain-Thunderstorm,Light Thunderstorms and Rain,140,1997-06-16 08:15:00
3:34 AM,64.4,64.4,100,29.55,7.0,South,6.9,-,0.12,Rain-Thunderstorm,Light Thunderstorms and Rain,170,1997-06-16 08:34:00
3:56 AM,64.0,64.0,100,29.55,6.0,NW,15.0,-,0.14,Rain-Thunderstorm,Light Thunderstorms and Rain,320,1997-06-16 08:56:00
4:08 AM,64.4,64.4,100,29.60,3.0,West,12.7,-,0.19,Rain-Thunderstorm,Thunderstorms and Rain,270,1997-06-16 09:08:00
4:12 AM,64.4,64.4,100,29.59,1.5,SW,8.1,17.3,0.28,Rain-Thunderstorm,Thunderstorms and Rain,220,1997-06-16 09:12:00
4:19 AM,64.4,64.4,100,29.57,2.5,WSW,8.1,-,0.31,Rain-Thunderstorm,Thunderstorms and Rain,250,1997-06-16 09:19:00
4:27 AM,64.4,64.4,100,29.56,5.0,West,6.9,-,0.32,Rain-Thunderstorm,Thunderstorms and Rain,270,1997-06-16 09:27:00
4:40 AM,64.4,62.6,94,29.56,10.0,SSW,8.1,-,0.32,Rain,Light Rain,210,1997-06-16 09:40:00
4:56 AM,64.0,64.0,100,29.56,10.0,South,9.2,-,0.34,Rain,Light Rain,180,1997-06-16 09:56:00
5:56 AM,64.0,64.0,100,29.52,7.0,SSE,4.6,-,0.02,Rain,Light Rain,160,1997-06-16 10:56:00
6:14 AM,64.4,64.4,100,29.54,3.0,Calm,Calm,-,0.03,Rain,Light Rain,0,1997-06-16 11:14:00
6:56 AM,64.0,64.0,100,29.52,3.0,South,6.9,-,0.05,Rain,Rain,190,1997-06-16 11:56:00
7:12 AM,64.4,64.4,100,29.54,3.0,SSW,9.2,-,0.01,Rain,Light Rain,200,1997-06-16 12:12:00
7:56 AM,64.0,64.0,100,29.54,8.0,SSW,10.4,-,0.02,,Overcast,200,1997-06-16 12:56:00
8:56 AM,66.0,64.9,96,29.56,10.0,SW,5.8,-,0.00,,Overcast,230,1997-06-16 13:56:00
9:39 AM,66.2,64.4,94,29.58,10.0,SW,9.2,-,N/A,,Overcast,230,1997-06-16 14:39:00
9:56 AM,66.9,64.0,90,29.57,10.0,WSW,9.2,-,N/A,,Overcast,240,1997-06-16 14:56:00
10:43 AM,69.8,64.4,83,29.58,10.0,WSW,9.2,-,N/A,,Overcast,250,1997-06-16 15:43:00
10:56 AM,70.0,66.0,87,29.57,10.0,SW,8.1,-,N/A,,Mostly Cloudy,230,1997-06-16 15:56:00
11:56 AM,73.0,66.9,81,29.58,10.0,West,10.4,-,N/A,,Mostly Cloudy,260,1997-06-16 16:56:00
12:56 PM,77.0,66.0,69,29.59,10.0,West,8.1,-,N/A,,Mostly Cloudy,280,1997-06-16 17:56:00
1:56 PM,78.1,61.0,56,29.60,10.0,West,12.7,-,N/A,,Mostly Cloudy,270,1997-06-16 18:56:00
