TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:56 AM,10.0,6.1,84,29.83,4.0,WNW,11.5,-,0.00,Snow,Light Snow,290,2000-12-19 06:56:00
1:56 AM,10.0,7.0,87,29.84,4.0,West,11.5,-,0.00,Snow,Light Snow,270,2000-12-19 07:56:00
2:10 AM,10.4,6.8,85,29.80,3.0,West,10.4,-,0.00,Snow,Light Snow,280,2000-12-19 08:10:00
2:45 AM,8.6,5.0,85,29.81,4.0,West,9.2,-,0.00,Snow,Light Snow,280,2000-12-19 08:45:00
2:56 AM,9.0,5.0,84,29.85,4.0,West,10.4,-,0.00,Snow,Light Snow,270,2000-12-19 08:56:00
3:45 AM,8.6,5.0,85,29.81,2.5,WNW,12.7,-,0.00,Snow,Light Snow,290,2000-12-19 09:45:00
3:56 AM,9.0,5.0,84,29.85,4.0,WNW,11.5,-,0.00,Snow,Light Snow,290,2000-12-19 09:56:00
4:56 AM,10.9,8.1,88,29.86,2.5,WNW,10.4,-,0.00,Snow,Light Snow,290,2000-12-19 10:56:00
5:10 AM,12.2,8.6,85,29.81,2.0,WNW,8.1,-,0.00,Snow,Light Snow,300,2000-12-19 11:10:00
5:22 AM,12.2,10.4,92,29.82,8.0,NW,11.5,-,0.00,,Overcast,310,2000-12-19 11:22:00
5:56 AM,15.1,10.9,84,29.86,10.0,NW,11.5,-,0.00,,Mostly Cloudy,310,2000-12-19 11:56:00
6:35 AM,17.6,14.0,86,29.83,4.0,NW,12.7,-,0.00,Snow,Light Snow,320,2000-12-19 12:35:00
6:44 AM,17.6,14.0,86,29.84,6.0,NW,15.0,-,0.00,Snow,Light Snow,310,2000-12-19 12:44:00
6:56 AM,16.0,12.9,88,29.88,8.0,NW,13.8,-,0.00,Snow,Light Snow,310,2000-12-19 12:56:00
7:56 AM,17.1,12.9,84,29.91,10.0,NW,13.8,-,0.00,,Mostly Cloudy,320,2000-12-19 13:56:00
8:56 AM,19.0,14.0,81,29.94,4.0,NNW,17.3,-,0.00,Snow,Light Snow,330,2000-12-19 14:56:00
9:41 AM,19.4,15.8,86,29.93,3.0,NW,18.4,-,0.00,Snow,Light Snow,320,2000-12-19 15:41:00
9:47 AM,19.4,15.8,86,29.93,2.0,NW,16.1,-,0.00,Snow,Light Snow,320,2000-12-19 15:47:00
9:56 AM,19.0,14.0,81,29.97,6.0,NW,13.8,-,0.00,Snow,Light Snow,320,2000-12-19 15:56:00
10:29 AM,19.4,14.0,80,29.93,9.0,NNW,16.1,-,0.00,,Mostly Cloudy,330,2000-12-19 16:29:00
10:56 AM,19.0,14.0,81,29.97,9.0,NNW,13.8,-,0.00,,Mostly Cloudy,330,2000-12-19 16:56:00
11:56 AM,19.9,12.9,74,29.97,7.0,NW,18.4,-,N/A,,Scattered Clouds,320,2000-12-19 17:56:00
12:56 PM,19.9,12.9,74,29.98,10.0,NNW,17.3,-,N/A,,Scattered Clouds,330,2000-12-19 18:56:00
1:56 PM,19.9,12.0,71,29.99,10.0,NNW,13.8,-,N/A,,Partly Cloudy,330,2000-12-19 19:56:00
2:56 PM,19.9,10.9,68,30.01,10.0,NW,17.3,-,N/A,,Partly Cloudy,320,2000-12-19 20:56:00
3:56 PM,18.0,10.0,71,30.04,10.0,NW,15.0,-,N/A,,Partly Cloudy,320,2000-12-19 21:56:00
4:56 PM,17.1,9.0,71,30.07,10.0,NW,12.7,-,N/A,,Partly Cloudy,310,2000-12-19 22:56:00
5:56 PM,16.0,8.1,71,30.08,10.0,WNW,10.4,-,N/A,,Partly Cloudy,300,2000-12-19 23:56:00
6:56 PM,15.1,7.0,70,30.09,10.0,WNW,10.4,-,N/A,,Clear,300,2000-12-20 00:56:00
7:56 PM,12.9,7.0,77,30.10,10.0,WNW,9.2,-,N/A,,Clear,290,2000-12-20 01:56:00
8:56 PM,12.0,6.1,77,30.11,10.0,WNW,10.4,-,N/A,,Clear,290,2000-12-20 02:56:00
9:56 PM,10.9,5.0,77,30.12,10.0,WNW,9.2,-,N/A,,Clear,290,2000-12-20 03:56:00
10:56 PM,9.0,3.9,80,30.12,10.0,West,5.8,-,N/A,,Clear,270,2000-12-20 04:56:00
11:56 PM,8.1,3.0,80,30.11,10.0,WNW,8.1,-,N/A,,Clear,290,2000-12-20 05:56:00
