TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,48.0,46.9,96,29.83,4.0,South,8.1,-,N/A,Fog,Fog,170,1991-12-08 06:00:00
12:20 AM,-9999,-9999,N/A,29.82,4.0,SSW,9.2,-,N/A,Fog,Fog,200,1991-12-08 06:20:00
1:00 AM,48.9,46.9,93,29.83,4.0,South,9.2,-,N/A,Fog,Fog,180,1991-12-08 07:00:00
2:00 AM,50.0,48.0,93,29.82,4.0,SSW,15.0,-,N/A,Fog,Fog,210,1991-12-08 08:00:00
3:00 AM,50.0,48.0,93,29.81,4.0,SSW,16.1,-,N/A,Fog,Fog,210,1991-12-08 09:00:00
4:00 AM,51.1,48.9,92,29.79,4.0,SSW,15.0,-,N/A,Fog,Fog,210,1991-12-08 10:00:00
5:00 AM,52.0,50.0,93,29.78,4.0,SSW,16.1,-,N/A,Fog,Fog,200,1991-12-08 11:00:00
5:30 AM,-9999,-9999,N/A,29.77,4.0,SSW,13.8,-,N/A,Fog,Fog,210,1991-12-08 11:30:00
6:00 AM,51.1,50.0,96,29.77,4.0,SSW,11.5,-,N/A,Fog,Fog,210,1991-12-08 12:00:00
6:05 AM,-9999,-9999,N/A,29.77,4.0,SSW,12.7,-,N/A,Fog,Fog,200,1991-12-08 12:05:00
7:00 AM,53.1,51.1,93,29.78,4.0,SSW,11.5,-,N/A,Fog,Fog,200,1991-12-08 13:00:00
7:26 AM,-9999,-9999,N/A,29.76,4.0,SSW,13.8,-,N/A,Fog,Fog,200,1991-12-08 13:26:00
7:54 AM,-9999,-9999,N/A,29.76,4.0,SSW,15.0,-,N/A,Fog,Fog,200,1991-12-08 13:54:00
8:00 AM,54.0,52.0,93,29.77,4.0,South,16.1,-,N/A,Fog,Fog,190,1991-12-08 14:00:00
9:00 AM,54.0,53.1,97,29.77,3.0,SSW,17.3,-,N/A,Fog,Fog,200,1991-12-08 15:00:00
10:00 AM,55.9,54.0,93,29.75,3.0,SSW,19.6,-,N/A,Fog,Fog,200,1991-12-08 16:00:00
10:27 AM,-9999,-9999,N/A,29.74,3.0,SSW,20.7,-,N/A,Fog,Fog,200,1991-12-08 16:27:00
11:00 AM,55.9,54.0,93,29.73,3.0,SSW,20.7,-,N/A,Fog,Fog,200,1991-12-08 17:00:00
12:00 PM,57.0,55.0,93,29.70,4.0,SSW,19.6,-,N/A,Fog,Fog,200,1991-12-08 18:00:00
1:00 PM,57.9,55.0,90,29.68,4.0,SSW,17.3,-,N/A,Fog,Fog,210,1991-12-08 19:00:00
2:00 PM,60.1,55.9,86,29.67,5.0,SW,17.3,-,N/A,Fog,Fog,230,1991-12-08 20:00:00
3:00 PM,60.1,57.0,90,29.64,5.0,SSW,12.7,-,N/A,Fog,Fog,210,1991-12-08 21:00:00
4:00 PM,59.0,57.0,93,29.65,5.0,SSW,10.4,-,N/A,Fog,Fog,200,1991-12-08 22:00:00
4:39 PM,-9999,-9999,N/A,29.65,5.0,West,6.9,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,270,1991-12-08 22:39:00
5:00 PM,59.0,57.9,96,29.68,4.0,West,6.9,-,0.30,Fog-Rain-Thunderstorm,Thunderstorms and Rain,260,1991-12-08 23:00:00
5:10 PM,-9999,-9999,N/A,29.67,5.0,WNW,13.8,-,N/A,Fog-Rain,Light Rain Showers,290,1991-12-08 23:10:00
6:00 PM,55.0,53.1,93,29.71,5.0,WNW,9.2,-,0.02,Fog,Fog,290,1991-12-09 00:00:00
6:09 PM,-9999,-9999,N/A,29.71,5.0,WNW,11.5,23.0,N/A,Fog,Fog,300,1991-12-09 00:09:00
6:29 PM,-9999,-9999,N/A,29.71,5.0,NW,17.3,-,N/A,Fog,Fog,310,1991-12-09 00:29:00
7:00 PM,51.1,48.9,92,29.80,5.0,NW,18.4,-,N/A,Fog,Fog,310,1991-12-09 01:00:00
7:33 PM,-9999,-9999,N/A,29.81,5.0,NW,15.0,-,N/A,Fog,Fog,310,1991-12-09 01:33:00
8:00 PM,45.0,39.0,80,29.84,7.0,NW,16.1,-,N/A,,Clear,310,1991-12-09 02:00:00
9:00 PM,42.1,37.9,85,29.86,8.0,NW,13.8,-,N/A,,Clear,310,1991-12-09 03:00:00
10:00 PM,39.9,36.0,86,29.90,9.0,WNW,12.7,-,N/A,,Clear,300,1991-12-09 04:00:00
11:00 PM,37.9,34.0,86,29.97,8.0,WNW,10.4,-,N/A,,Clear,300,1991-12-09 05:00:00
