TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,64.0,62.1,93,30.00,4.0,SE,3.5,-,N/A,,Overcast,130,2006-09-12 05:51:00
1:03 AM,64.4,62.6,94,30.00,4.0,SE,3.5,-,N/A,,Mostly Cloudy,140,2006-09-12 06:03:00
1:24 AM,64.4,62.6,94,30.00,4.0,SE,4.6,-,N/A,,Overcast,130,2006-09-12 06:24:00
1:51 AM,64.9,63.0,93,29.99,4.0,SE,8.1,-,N/A,,Overcast,130,2006-09-12 06:51:00
2:51 AM,64.9,63.0,93,29.97,3.0,SE,4.6,-,N/A,,Overcast,140,2006-09-12 07:51:00
3:44 AM,64.4,62.6,94,29.96,2.5,ESE,6.9,-,N/A,,Overcast,120,2006-09-12 08:44:00
3:51 AM,64.9,64.0,97,29.96,2.5,SE,6.9,-,N/A,,Overcast,130,2006-09-12 08:51:00
4:51 AM,64.9,64.0,97,29.96,1.5,SSE,3.5,-,N/A,,Overcast,160,2006-09-12 09:51:00
5:04 AM,64.4,64.4,100,29.97,1.0,SSE,4.6,-,N/A,,Overcast,160,2006-09-12 10:04:00
5:10 AM,64.4,64.4,100,29.97,0.8,South,3.5,-,N/A,,Overcast,170,2006-09-12 10:10:00
5:28 AM,64.4,64.4,100,29.96,0.5,Calm,Calm,-,N/A,,Overcast,0,2006-09-12 10:28:00
5:51 AM,64.9,64.0,97,29.95,0.5,SE,4.6,-,N/A,Fog,Fog,130,2006-09-12 10:51:00
6:51 AM,64.9,64.9,100,29.95,0.5,SSE,5.8,-,N/A,,Overcast,150,2006-09-12 11:51:00
7:51 AM,66.0,64.9,96,29.95,0.5,SSE,5.8,-,N/A,Fog,Fog,160,2006-09-12 12:51:00
7:55 AM,66.2,64.4,94,29.95,1.0,SSE,5.8,-,N/A,,Overcast,150,2006-09-12 12:55:00
8:49 AM,66.2,64.4,94,29.94,1.5,SSE,5.8,-,N/A,,Overcast,150,2006-09-12 13:49:00
8:51 AM,66.9,64.9,93,29.93,1.5,SSE,5.8,-,N/A,,Overcast,150,2006-09-12 13:51:00
9:51 AM,68.0,66.0,93,29.93,2.0,Calm,Calm,-,N/A,,Overcast,0,2006-09-12 14:51:00
10:51 AM,68.0,64.9,90,29.92,2.5,East,5.8,-,0.00,Rain,Light Rain,100,2006-09-12 15:51:00
11:51 AM,68.0,66.9,96,29.92,2.0,Calm,Calm,-,0.06,Rain,Light Rain,0,2006-09-12 16:51:00
12:51 PM,68.0,66.9,96,29.91,2.0,SSE,9.2,-,0.06,Rain,Light Rain,160,2006-09-12 17:51:00
1:42 PM,69.8,66.2,88,29.89,3.0,South,8.1,-,0.02,,Overcast,180,2006-09-12 18:42:00
1:51 PM,70.0,66.9,90,29.89,3.0,South,6.9,-,0.02,,Overcast,190,2006-09-12 18:51:00
2:51 PM,70.0,66.0,87,29.86,7.0,SSW,5.8,-,N/A,,Overcast,200,2006-09-12 19:51:00
3:51 PM,71.1,66.0,84,29.85,7.0,SSW,5.8,-,0.00,,Mostly Cloudy,200,2006-09-12 20:51:00
4:51 PM,68.0,66.0,93,29.85,3.0,West,8.1,-,0.02,Rain,Light Rain,260,2006-09-12 21:51:00
5:51 PM,66.0,63.0,90,29.85,9.0,WNW,12.7,-,0.00,,Mostly Cloudy,290,2006-09-12 22:51:00
6:51 PM,64.9,62.1,90,29.85,10.0,WNW,9.2,-,N/A,,Mostly Cloudy,290,2006-09-12 23:51:00
7:51 PM,64.9,62.1,90,29.84,10.0,WNW,5.8,-,N/A,,Overcast,300,2006-09-13 00:51:00
8:51 PM,64.0,62.1,93,29.84,10.0,West,5.8,-,N/A,,Overcast,270,2006-09-13 01:51:00
9:22 PM,64.4,62.6,94,29.84,10.0,West,4.6,-,N/A,,Overcast,260,2006-09-13 02:22:00
9:51 PM,64.0,62.1,93,29.85,7.0,West,5.8,-,N/A,,Overcast,270,2006-09-13 02:51:00
10:31 PM,62.6,62.6,100,29.84,4.0,West,5.8,-,0.00,Rain,Light Rain,260,2006-09-13 03:31:00
10:51 PM,63.0,62.1,97,29.83,4.0,West,6.9,-,0.01,Rain,Light Rain,280,2006-09-13 03:51:00
11:44 PM,64.4,62.6,94,29.83,5.0,WNW,4.6,-,0.00,,Overcast,300,2006-09-13 04:44:00
11:51 PM,64.0,62.1,93,29.83,5.0,WNW,5.8,-,0.00,,Overcast,300,2006-09-13 04:51:00
