TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:56 AM,72.0,62.1,71,29.56,10.0,SSW,12.7,20.7,N/A,,Scattered Clouds,200,2000-06-16 05:56:00
1:56 AM,73.0,62.1,68,29.55,10.0,SSW,21.9,31.1,N/A,,Scattered Clouds,210,2000-06-16 06:56:00
2:56 AM,73.0,62.1,68,29.55,10.0,SSW,18.4,26.5,N/A,,Scattered Clouds,210,2000-06-16 07:56:00
3:56 AM,72.0,61.0,68,29.54,10.0,SSW,17.3,21.9,N/A,,Mostly Cloudy,210,2000-06-16 08:56:00
4:56 AM,71.1,62.1,73,29.55,10.0,SSW,16.1,21.9,N/A,,Mostly Cloudy,210,2000-06-16 09:56:00
5:56 AM,70.0,62.1,76,29.57,10.0,SW,15.0,21.9,N/A,,Mostly Cloudy,230,2000-06-16 10:56:00
6:56 AM,71.1,59.0,66,29.57,10.0,West,11.5,-,N/A,,Scattered Clouds,260,2000-06-16 11:56:00
7:56 AM,72.0,57.9,61,29.60,10.0,West,12.7,18.4,N/A,,Scattered Clouds,260,2000-06-16 12:56:00
8:56 AM,72.0,60.1,66,29.63,10.0,West,16.1,-,N/A,,Mostly Cloudy,270,2000-06-16 13:56:00
9:56 AM,71.1,55.9,59,29.68,10.0,West,18.4,23.0,N/A,,Mostly Cloudy,260,2000-06-16 14:56:00
10:56 AM,68.0,55.0,63,29.71,10.0,West,10.4,-,0.00,Rain,Light Rain,260,2000-06-16 15:56:00
11:39 AM,60.8,57.2,88,29.78,5.0,West,13.8,-,0.04,Rain,Rain,270,2000-06-16 16:39:00
11:56 AM,61.0,59.0,93,29.77,8.0,SW,13.8,-,0.04,Rain,Light Rain,230,2000-06-16 16:56:00
12:56 PM,64.0,59.0,84,29.76,10.0,WSW,15.0,-,0.00,,Mostly Cloudy,250,2000-06-16 17:56:00
1:56 PM,66.0,60.1,81,29.76,10.0,WSW,13.8,20.7,N/A,,Overcast,240,2000-06-16 18:56:00
2:56 PM,68.0,60.1,76,29.74,10.0,WSW,9.2,-,N/A,,Overcast,240,2000-06-16 19:56:00
3:56 PM,69.1,60.1,73,29.75,10.0,West,9.2,-,N/A,,Overcast,260,2000-06-16 20:56:00
4:56 PM,70.0,61.0,73,29.76,10.0,WSW,9.2,-,N/A,,Mostly Cloudy,240,2000-06-16 21:56:00
5:56 PM,68.0,61.0,78,29.78,10.0,SW,9.2,-,N/A,,Mostly Cloudy,230,2000-06-16 22:56:00
6:56 PM,68.0,61.0,78,29.81,10.0,SW,10.4,-,N/A,,Overcast,220,2000-06-16 23:56:00
7:56 PM,66.9,61.0,81,29.81,10.0,SW,6.9,-,N/A,,Mostly Cloudy,230,2000-06-17 00:56:00
8:56 PM,66.0,61.0,84,29.83,10.0,SW,6.9,-,N/A,,Mostly Cloudy,230,2000-06-17 01:56:00
9:56 PM,64.0,61.0,90,29.86,10.0,SW,5.8,-,N/A,,Mostly Cloudy,230,2000-06-17 02:56:00
10:56 PM,64.0,61.0,90,29.89,10.0,SW,6.9,-,N/A,,Mostly Cloudy,230,2000-06-17 03:56:00
11:56 PM,64.0,61.0,90,29.92,10.0,West,9.2,-,N/A,,Mostly Cloudy,260,2000-06-17 04:56:00
