YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1996-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.356,1,0.17,0
1996-01-01,8:00,87.1,124.5,46,931,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,11,0,16,6,11,11,10,33,16,10,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,9:00,80.2,133.4,242,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,33,11,0,16,33,11,107,10,318,16,52,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,10:00,72.9,145.5,415,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,54,11,0,16,54,11,231,10,527,16,76,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,11:00,67.8,159.1,536,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,78,11,0,16,78,11,331,10,628,16,93,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,12:00,65.1,173.8,595,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,107,11,0,16,107,11,382,10,668,16,101,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,13:00,65.4,189.0,589,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,88,11,0,16,88,11,376,10,664,16,100,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,14:00,68.5,203.6,518,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,74,11,0,16,74,11,315,10,614,16,90,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,15:00,74.1,216.9,387,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,49,11,0,16,49,11,209,10,497,16,73,10,-9900,99,-9900,99,-9900,99,0.9,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,16:00,81.7,228.7,205,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,29,11,0,16,29,11,84,10,260,16,46,10,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,17:00,87.9,236.5,24,672,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,11,0,16,3,11,5,10,14,16,4,10,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
1996-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.094,1,0.155,1,0.356,1,0.17,0
