YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2006-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.094,1,0.094,1,0.252,2,0.17,0
2006-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.094,1,0.094,1,0.253,51,0.17,0
2006-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.094,1,0.094,1,0.255,51,0.17,0
2006-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.094,1,0.094,1,0.256,51,0.17,0
2006-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.094,1,0.094,1,0.258,51,0.17,0
2006-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.094,1,0.094,1,0.259,51,0.17,0
2006-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.094,1,0.094,1,0.260,51,0.17,0
2006-01-01,8:00,87.1,124.4,46,931,14,1,9,156,1,21,6,1,9,10,24,40,27,8,24,17,10,181,16,8,10,-9900,99,-9900,99,-9900,99,1.2,51,0.094,1,0.047,1,0.262,51,0.17,0
2006-01-01,9:00,80.2,133.4,242,1415,143,0,9,481,0,21,61,0,9,84,24,100,27,67,24,131,10,585,16,31,10,-9900,99,-9900,99,-9900,99,1.2,3,0.094,1,0.047,1,0.263,51,0.17,0
2006-01-01,10:00,72.9,145.4,415,1415,282,0,9,697,0,21,77,0,9,151,24,64,27,132,24,264,10,756,16,42,10,-9900,99,-9900,99,-9900,99,1.2,51,0.094,1,0.047,1,0.264,51,0.17,0
2006-01-01,11:00,67.7,159.0,536,1415,382,0,9,780,0,21,86,0,9,140,24,0,27,140,24,365,10,829,16,50,10,-9900,99,-9900,99,-9900,99,1.2,51,0.094,1,0.047,1,0.266,51,0.17,0
2006-01-01,12:00,65.1,173.8,596,1415,431,0,9,608,0,21,175,0,9,159,25,0,28,159,25,415,10,858,16,54,10,-9900,99,-9900,99,-9900,99,1.3,3,0.094,1,0.047,1,0.267,51,0.17,0
2006-01-01,13:00,65.3,188.9,590,1415,164,0,9,15,0,21,158,0,9,125,24,0,27,125,24,409,10,851,16,54,10,-9900,99,-9900,99,-9900,99,1.4,51,0.094,1,0.047,1,0.269,51,0.17,0
2006-01-01,14:00,68.5,203.5,519,1415,147,0,9,18,0,21,140,0,9,108,24,0,27,108,24,347,10,813,16,49,10,-9900,99,-9900,99,-9900,99,1.6,51,0.094,1,0.047,1,0.270,51,0.17,0
2006-01-01,15:00,74.1,216.8,388,1415,238,0,9,428,0,21,120,0,9,77,24,0,27,77,24,239,10,724,16,40,10,-9900,99,-9900,99,-9900,99,1.7,3,0.094,1,0.047,1,0.271,51,0.17,0
2006-01-01,16:00,81.6,228.6,207,1415,119,0,9,411,0,21,59,0,9,36,24,0,27,36,24,105,10,524,16,28,10,-9900,99,-9900,99,-9900,99,1.9,51,0.094,1,0.047,1,0.273,51,0.17,0
2006-01-01,17:00,87.9,236.6,25,696,7,1,9,95,1,21,3,1,9,3,24,0,27,3,24,8,10,113,16,4,10,-9900,99,-9900,99,-9900,99,2.1,51,0.094,1,0.047,1,0.274,51,0.17,0
2006-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.094,1,0.047,1,0.275,51,0.17,0
2006-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.094,1,0.047,1,0.277,51,0.17,0
2006-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,51,0.094,1,0.047,1,0.278,51,0.17,0
2006-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.094,1,0.047,1,0.280,51,0.17,0
2006-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,51,0.094,1,0.047,1,0.281,51,0.17,0
2006-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,51,0.094,1,0.047,1,0.282,51,0.17,0
